Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,RegCheck,RegDate,CleanedRegDate
REG102113,30-06-2020,2020,Delhi,Delhi North (DL-04),2W,Motorcycle,KTM,Petrol,BS6,400,2,4,REG19,30/06/2020,6/30/2020
REG102114,11/8/2023,2023,Delhi,Delhi South (DL-09),4W,Sedan,Hyundai,Diesel,BS6,1498,7,1,REG19,11/8/2023,11/8/2023
REG102115,19-12-2020,2020,Uttar Pradesh,Varanasi (UP-65),2W,Scooter,Royal Enfield,Petrol,BS6,125,2,4,REG19,19/12/2020,12/19/2020
REG102116,10/5/2023,2023,Tamil Nadu,Coimbatore (TN-37),HCV,Truck,MAN,Diesel,BS6,4998,32,1,REG19,10/5/2023,10/5/2023
REG102117,27-07-2023,2023,Telangana,Khammam (TS-07),2W,Moped,TVS,Petrol,BS6,100,2,1,REG19,27/07/2023,7/27/2023
REG102118,5/5/2023,2023,Uttar Pradesh,Kanpur (UP-78),4W,SUV,Mahindra,Diesel,BS6,2179,6,1,REG19,5/5/2023,5/5/2023
REG102119,23-02-2023,2023,Karnataka,Bangalore Central (KA-01),4W,SUV,Honda,EV,BS6,0,5,1,REG19,23/02/2023,2/23/2023
REG102120,15-06-2019,2019,West Bengal,Durgapur (WB-40),2W,Moped,Royal Enfield,Hybrid,BS4,125,2,5,REG19,15/06/2019,6/15/2019
REG102121,27-05-2023,2023,Maharashtra,Mumbai Central (MH-01),2W,Scooter,TVS,Petrol,BS6,250,2,1,REG19,27/05/2023,5/27/2023
REG102122,22-05-2019,2019,Delhi,Delhi South (DL-09),4W,MUV,Toyota,Diesel,BS6,2179,5,5,REG19,22/05/2019,5/22/2019
REG102123,14-02-2023,2023,Rajasthan,Kota (RJ-20),2W,Motorcycle,TVS,EV,BS6,0,2,1,REG19,14/02/2023,2/14/2023
REG102124,19-10-2022,2022,Kerala,Kozhikode (KL-11),2W,Moped,Yamaha,Petrol,BS6,110,2,2,REG19,19/10/2022,10/19/2022
REG102125,3/7/2022,2022,Punjab,Jalandhar (PB-08),4W,Sedan,Skoda,Diesel,BS6,1197,5,2,REG19,3/7/2022,3/7/2022
REG102126,8/12/2022,2022,West Bengal,Kolkata (WB-01),4W,Hatchback,Kia,Petrol,BS6,800,5,2,REG19,8/12/2022,8/12/2022
REG102127,20-10-2021,2021,Punjab,Jalandhar (PB-08),2W,Moped,Honda,Petrol,BS6,150,2,3,REG19,20/10/2021,10/20/2021
REG102128,21-08-2022,2022,Kerala,Thrissur (KL-08),LCV,Light Bus,Force Motors,Diesel,BS6,0,9,2,REG19,21/08/2022,8/21/2022
REG102129,29-04-2022,2022,Punjab,Patiala (PB-11),3W,Auto Rickshaw,Piaggio,Diesel,BS6,200,7,2,REG19,29/04/2022,4/29/2022
REG102130,22-10-2024,2024,Tamil Nadu,Coimbatore (TN-37),2W,Scooter,Hero,EV,BS6,0,2,0,REG19,22/10/2024,10/22/2024
REG102131,16-04-2020,2020,Telangana,Khammam (TS-07),3W,Tempo,Mahindra,Diesel,BS6,250,3,4,REG19,16/04/2020,4/16/2020
REG102132,10/12/2020,2020,Karnataka,Belgaum (KA-22),2W,Scooter,Yamaha,Petrol,BS6,0,2,4,REG19,10/12/2020,10/12/2020
REG102133,5/2/2020,2020,Madhya Pradesh,Gwalior (MP-07),2W,Motorcycle,TVS,Petrol,BS6,200,2,4,REG19,5/2/2020,5/2/2020
REG102134,26-05-2022,2022,Maharashtra,Nagpur (MH-31),3W,E-Rickshaw,TVS,CNG,BS6,0,3,2,REG19,26/05/2022,5/26/2022
REG102135,6/10/2021,2021,Kerala,Thiruvananthapuram (KL-01),2W,Scooter,Ather,EV,BS6,0,2,3,REG19,6/10/2021,6/10/2021
REG102136,2/8/2024,2024,West Bengal,Siliguri (WB-73),2W,Scooter,Ola Electric,EV,BS6,0,2,0,REG19,2/8/2024,2/8/2024
REG102137,6/5/2018,2018,Uttar Pradesh,Agra (UP-80),2W,Motorcycle,Royal Enfield,Petrol,BS4,200,2,6,REG19,6/5/2018,6/5/2018
REG102138,17-10-2021,2021,Rajasthan,Jodhpur (RJ-19),3W,Auto Rickshaw,Atul Auto,Petrol,BS6,0,7,3,REG19,17/10/2021,10/17/2021
REG102139,23-12-2021,2021,Tamil Nadu,Salem (TN-30),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3,REG19,23/12/2021,12/23/2021
REG102140,2/4/2022,2022,Delhi,Delhi West (DL-08),2W,Moped,Yamaha,EV,BS6,0,2,2,REG19,2/4/2022,2/4/2022
REG102141,3/6/2023,2023,Rajasthan,Jaipur (RJ-14),2W,Motorcycle,KTM,Petrol,BS6,150,2,1,REG19,3/6/2023,3/6/2023
REG102142,31-07-2021,2021,Karnataka,Hubli (KA-25),4W,SUV,Skoda,Diesel,BS6,1968,6,3,REG19,31/07/2021,7/31/2021
REG102143,6/6/2023,2023,Gujarat,Vadodara (GJ-06),4W,SUV,Mahindra,Petrol,BS6,1000,8,1,REG19,6/6/2023,6/6/2023
REG102144,26-04-2022,2022,Punjab,Patiala (PB-11),4W,Sedan,Kia,Petrol,BS6,1498,8,2,REG19,26/04/2022,4/26/2022
REG102145,25-04-2022,2022,Gujarat,Ahmedabad (GJ-01),3W,Tempo,Kinetic Green,EV,BS6,0,7,2,REG19,25/04/2022,4/25/2022
REG102146,8/12/2024,2024,Rajasthan,Ajmer (RJ-01),2W,Moped,KTM,CNG,BS6,400,2,0,REG19,8/12/2024,8/12/2024
REG102147,19-10-2020,2020,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Hyundai,Petrol,BS6,2179,6,4,REG19,19/10/2020,10/19/2020
REG102148,28-06-2021,2021,Maharashtra,Pune (MH-12),2W,Scooter,Hero,EV,BS6,0,2,3,REG19,28/06/2021,6/28/2021
REG102149,20-01-2024,2024,Gujarat,Rajkot (GJ-03),2W,Scooter,Ola Electric,Petrol,BS6,150,2,0,REG19,20/01/2024,1/20/2024
REG102150,17-03-2021,2021,Maharashtra,Mumbai Central (MH-01),2W,Moped,Suzuki,Petrol,BS6,0,2,3,REG19,17/03/2021,3/17/2021
REG102151,10/3/2024,2024,Delhi,Delhi South (DL-09),2W,Motorcycle,TVS,CNG,BS6,110,2,0,REG19,10/3/2024,10/3/2024
REG102152,8/4/2023,2023,Delhi,Delhi North (DL-04),2W,Scooter,Yamaha,EV,BS6,0,2,1,REG19,8/4/2023,8/4/2023
REG102153,20-10-2024,2024,Punjab,Amritsar (PB-02),4W,MUV,Maruti Suzuki,CNG,BS6,1462,5,0,REG19,20/10/2024,10/20/2024
REG102154,24-04-2021,2021,Gujarat,Vadodara (GJ-06),4W,Sedan,Kia,EV,BS6,0,5,3,REG19,24/04/2021,4/24/2021
REG102155,27-07-2024,2024,Delhi,Delhi South (DL-09),4W,Hatchback,Mahindra,Petrol,BS6,1197,6,0,REG19,27/07/2024,7/27/2024
REG102156,2/12/2021,2021,Maharashtra,Pune (MH-12),2W,Scooter,Royal Enfield,Petrol,BS6,110,2,3,REG19,2/12/2021,2/12/2021
REG102157,12/12/2022,2022,Maharashtra,Nagpur (MH-31),2W,Scooter,Ola Electric,Petrol,BS6,250,2,2,REG19,12/12/2022,12/12/2022
REG102158,19-10-2023,2023,Telangana,Hyderabad (TS-09),2W,Moped,Yamaha,CNG,BS6,160,2,1,REG19,19/10/2023,10/19/2023
REG102159,13-08-2023,2023,Uttar Pradesh,Allahabad (UP-70),HCV,Bus,MAN,Diesel,BS6,5660,1,1,REG19,13/08/2023,8/13/2023
REG102160,20-03-2024,2024,West Bengal,Durgapur (WB-40),2W,Motorcycle,Royal Enfield,Petrol,BS6,150,2,0,REG19,20/03/2024,3/20/2024
REG102161,5/8/2022,2022,Telangana,Nizamabad (TS-05),HCV,Bus,Ashok Leyland,Diesel,BS6,6700,32,2,REG19,5/8/2022,5/8/2022
REG102162,16-11-2019,2019,Tamil Nadu,Salem (TN-30),4W,Sedan,Mahindra,Petrol,BS4,1462,5,5,REG19,16/11/2019,11/16/2019
REG102163,27-04-2020,2020,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,Ola Electric,Petrol,BS6,100,2,4,REG19,27/04/2020,4/27/2020
REG102164,10/12/2023,2023,Delhi,Delhi East (DL-02),2W,Scooter,KTM,Petrol,BS6,250,2,1,REG19,10/12/2023,10/12/2023
REG102165,8/11/2020,2020,West Bengal,Durgapur (WB-40),HCV,Truck,BharatBenz,Diesel,BS6,0,32,4,REG19,8/11/2020,8/11/2020
REG102166,29-01-2023,2023,Rajasthan,Jodhpur (RJ-19),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,9,1,REG19,29/01/2023,1/29/2023
REG102167,18-05-2020,2020,Delhi,Delhi South (DL-09),4W,SUV,MG,Petrol,BS6,1197,5,4,REG19,18/05/2020,5/18/2020
REG102168,9/1/2023,2023,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Ola Electric,CNG,BS6,110,2,1,REG19,9/1/2023,9/1/2023
REG102169,12/8/2024,2024,West Bengal,Howrah (WB-13),HCV,Bus,Volvo,Diesel,BS6,6700,32,0,REG19,12/8/2024,12/8/2024
REG102170,14-06-2023,2023,Madhya Pradesh,Ujjain (MP-13),3W,Auto Rickshaw,Mahindra,EV,BS6,0,6,1,REG19,14/06/2023,6/14/2023
REG102171,5/10/2021,2021,Karnataka,Belgaum (KA-22),4W,Sedan,Kia,Petrol,BS6,1462,8,3,REG19,5/10/2021,5/10/2021
REG102172,2/11/2020,2020,Tamil Nadu,Salem (TN-30),4W,SUV,Renault,Petrol,BS6,800,7,4,REG19,2/11/2020,2/11/2020
REG102173,7/5/2023,2023,Uttar Pradesh,Varanasi (UP-65),4W,SUV,Kia,Diesel,BS6,2179,6,1,REG19,7/5/2023,7/5/2023
REG102174,25-01-2019,2019,Madhya Pradesh,Indore (MP-09),3W,Auto Rickshaw,Piaggio,CNG,BS4,200,7,5,REG19,25/01/2019,1/25/2019
REG102175,11/11/2022,2022,West Bengal,Asansol (WB-39),2W,Moped,Yamaha,CNG,BS6,100,2,2,REG19,11/11/2022,11/11/2022
REG102176,26-04-2023,2023,Madhya Pradesh,Bhopal (MP-04),3W,Auto Rickshaw,Mahindra,CNG,BS6,225,6,1,REG19,26/04/2023,4/26/2023
REG102177,12/6/2021,2021,Karnataka,Belgaum (KA-22),OTH,Road Roller,John Deere,Diesel,BS6,3760,45,3,REG19,12/6/2021,12/6/2021
REG102178,12/10/2020,2020,Karnataka,Mysore (KA-09),2W,Scooter,Suzuki,Hybrid,BS6,350,2,4,REG19,12/10/2020,12/10/2020
REG102179,12/7/2019,2019,Tamil Nadu,Coimbatore (TN-37),2W,Scooter,TVS,Petrol,BS4,200,2,5,REG19,12/7/2019,12/7/2019
REG102180,21-12-2023,2023,Madhya Pradesh,Gwalior (MP-07),4W,MUV,Mahindra,Petrol,BS6,0,6,1,REG19,21/12/2023,12/21/2023
REG102181,13-09-2022,2022,Delhi,Delhi West (DL-08),2W,Scooter,Hero,Petrol,BS6,400,2,2,REG19,13/09/2022,9/13/2022
REG102182,6/1/2018,2018,Punjab,Patiala (PB-11),HCV,Truck,Volvo,Diesel,BS4,5660,52,6,REG19,6/1/2018,6/1/2018
REG102183,8/4/2023,2023,Madhya Pradesh,Jabalpur (MP-20),4W,SUV,Hyundai,CNG,BS6,2179,8,1,REG19,8/4/2023,8/4/2023
REG102184,23-03-2023,2023,Gujarat,Gandhinagar (GJ-18),4W,Sedan,Honda,Diesel,BS6,1598,8,1,REG19,23/03/2023,3/23/2023
REG102185,3/7/2023,2023,Delhi,Delhi West (DL-08),2W,Scooter,KTM,Petrol,BS6,0,2,1,REG19,3/7/2023,3/7/2023
REG102186,10/3/2019,2019,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,Yamaha,EV,BS4,0,2,5,REG19,10/3/2019,10/3/2019
REG102187,15-06-2021,2021,Madhya Pradesh,Gwalior (MP-07),4W,Sedan,Tata Motors,CNG,BS6,1968,6,3,REG19,15/06/2021,6/15/2021
REG102188,25-08-2020,2020,Maharashtra,Pune (MH-12),4W,SUV,Skoda,Diesel,BS6,1197,8,4,REG19,25/08/2020,8/25/2020
REG102189,6/12/2021,2021,Tamil Nadu,Trichy (TN-45),4W,Sedan,Maruti Suzuki,Diesel,BS6,1498,5,3,REG19,6/12/2021,6/12/2021
REG102190,3/10/2019,2019,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Bajaj,CNG,BS4,100,2,5,REG19,3/10/2019,3/10/2019
REG102191,1/4/2023,2023,Maharashtra,Nagpur (MH-31),4W,Sedan,Tata Motors,Petrol,BS6,1197,5,1,REG19,1/4/2023,1/4/2023
REG102192,30-12-2024,2024,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,Ather,EV,BS6,0,2,0,REG19,30/12/2024,12/30/2024
REG102193,2/6/2022,2022,Telangana,Warangal (TS-03),LCV,Light Bus,Force Motors,Diesel,BS6,2523,9,2,REG19,2/6/2022,2/6/2022
REG102194,6/6/2018,2018,Punjab,Chandigarh (CH-01),4W,SUV,Renault,Diesel,BS4,1197,5,6,REG19,6/6/2018,6/6/2018
REG102195,6/5/2023,2023,Maharashtra,Nashik (MH-15),2W,Moped,KTM,EV,BS6,0,2,1,REG19,6/5/2023,6/5/2023
REG102196,8/6/2024,2024,Telangana,Nizamabad (TS-05),4W,MUV,Honda,Petrol,BS6,1000,8,0,REG19,8/6/2024,8/6/2024
REG102197,12/8/2022,2022,Kerala,Kochi (KL-07),2W,Moped,TVS,Petrol,BS6,125,2,2,REG19,12/8/2022,12/8/2022
REG102198,25-03-2019,2019,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Royal Enfield,CNG,BS4,0,2,5,REG19,25/03/2019,3/25/2019
REG102199,18-10-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Motorcycle,Royal Enfield,CNG,BS6,110,2,2,REG19,18/10/2022,10/18/2022
REG102200,1/11/2021,2021,Karnataka,Mangalore (KA-19),LCV,Pickup Van,Mahindra,EV,BS6,0,15,3,REG19,1/11/2021,1/11/2021
REG102201,8/10/2020,2020,Kerala,Kollam (KL-02),2W,Motorcycle,Ather,CNG,BS4,100,2,4,REG19,8/10/2020,8/10/2020
REG102202,28-03-2023,2023,Maharashtra,Pune (MH-12),LCV,Pickup Van,Force Motors,Diesel,BS6,2523,9,1,REG19,28/03/2023,3/28/2023
REG102203,6/4/2020,2020,Maharashtra,Nagpur (MH-31),HCV,Bus,Eicher,Diesel,BS6,3760,1,4,REG19,6/4/2020,6/4/2020
REG102204,8/10/2024,2024,Rajasthan,Jaipur (RJ-14),2W,Motorcycle,Royal Enfield,Petrol,BS6,100,2,0,REG19,8/10/2024,8/10/2024
REG102205,10/11/2023,2023,Rajasthan,Ajmer (RJ-01),4W,MUV,Skoda,Petrol,BS6,800,5,1,REG19,10/11/2023,10/11/2023
REG102206,27-04-2023,2023,West Bengal,Siliguri (WB-73),4W,MUV,Tata Motors,Diesel,BS6,1197,6,1,REG19,27/04/2023,4/27/2023
REG102207,12/2/2023,2023,Telangana,Khammam (TS-07),LCV,Light Bus,Mahindra,Diesel,BS6,3298,15,1,REG19,12/2/2023,12/2/2023
REG102208,11/8/2022,2022,Karnataka,Belgaum (KA-22),HCV,Tanker,Ashok Leyland,Diesel,BS6,0,32,2,REG19,11/8/2022,11/8/2022
REG102209,13-04-2022,2022,Karnataka,Bangalore Central (KA-01),OTH,Tractor,TAFE,Diesel,BS6,4998,52,2,REG19,13/04/2022,4/13/2022
REG102210,2/2/2022,2022,Tamil Nadu,Chennai Central (TN-01),4W,Sedan,Toyota,Petrol,BS6,0,8,2,REG19,2/2/2022,2/2/2022
REG102211,5/8/2019,2019,Rajasthan,Jaipur (RJ-14),2W,Scooter,KTM,Petrol,BS4,200,2,5,REG19,5/8/2019,5/8/2019
REG102212,6/5/2024,2024,Punjab,Ludhiana (PB-10),2W,Moped,Ather,Petrol,BS6,110,2,0,REG19,6/5/2024,6/5/2024
REG102213,22-12-2022,2022,Punjab,Ludhiana (PB-10),3W,E-Rickshaw,Mahindra,CNG,BS6,200,6,2,REG19,22/12/2022,12/22/2022
REG102214,12/9/2021,2021,Punjab,Jalandhar (PB-08),4W,Sedan,Renault,EV,BS6,0,5,3,REG19,12/9/2021,12/9/2021
REG102215,30-09-2024,2024,Kerala,Kochi (KL-07),4W,MUV,Toyota,EV,BS6,0,6,0,REG19,30/09/2024,9/30/2024
REG102216,12/11/2022,2022,Punjab,Amritsar (PB-02),4W,Hatchback,Tata Motors,Diesel,BS6,0,6,2,REG19,12/11/2022,12/11/2022
REG102217,16-08-2023,2023,Rajasthan,Kota (RJ-20),2W,Scooter,Suzuki,EV,BS6,0,2,1,REG19,16/08/2023,8/16/2023
REG102218,13-11-2023,2023,Tamil Nadu,Trichy (TN-45),LCV,Mini Truck,Force Motors,Diesel,BS6,0,12,1,REG19,13/11/2023,11/13/2023
REG102219,15-10-2021,2021,Punjab,Amritsar (PB-02),2W,Scooter,Ola Electric,EV,BS6,0,2,3,REG19,15/10/2021,10/15/2021
REG102220,17-12-2020,2020,Telangana,Khammam (TS-07),3W,Tempo,Kinetic Green,Diesel,BS6,250,6,4,REG19,17/12/2020,12/17/2020
REG102221,29-07-2024,2024,Gujarat,Ahmedabad (GJ-01),HCV,Bus,Eicher,Diesel,BS6,6700,2,0,REG19,29/07/2024,7/29/2024
REG102222,2/10/2021,2021,Gujarat,Rajkot (GJ-03),3W,Tempo,TVS,CNG,BS6,200,6,3,REG19,2/10/2021,2/10/2021
REG102223,27-03-2018,2018,Gujarat,Gandhinagar (GJ-18),4W,SUV,Kia,Diesel,BS4,0,8,6,REG19,27/03/2018,3/27/2018
REG102224,21-01-2021,2021,Maharashtra,Nagpur (MH-31),HCV,Truck,Tata Motors,Diesel,BS6,6700,45,3,REG19,21/01/2021,1/21/2021
REG102225,9/5/2020,2020,Gujarat,Gandhinagar (GJ-18),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1598,5,4,REG19,9/5/2020,9/5/2020
REG102226,4/10/2022,2022,Delhi,Delhi Central (DL-01),4W,Sedan,Maruti Suzuki,Diesel,BS6,0,6,2,REG19,4/10/2022,4/10/2022
REG102227,8/1/2021,2021,Punjab,Patiala (PB-11),4W,SUV,Hyundai,CNG,BS6,1197,8,3,REG19,8/1/2021,8/1/2021
REG102228,14-12-2021,2021,Rajasthan,Jaipur (RJ-14),2W,Motorcycle,Hero,CNG,BS6,250,2,3,REG19,14/12/2021,12/14/2021
REG102229,17-07-2020,2020,Karnataka,Belgaum (KA-22),LCV,Light Bus,Ashok Leyland,CNG,BS6,3298,9,4,REG19,17/07/2020,7/17/2020
REG102230,10/8/2023,2023,Telangana,Nizamabad (TS-05),4W,Sedan,MG,Diesel,BS6,2179,5,1,REG19,10/8/2023,10/8/2023
REG102231,1/8/2022,2022,Telangana,Karimnagar (TS-01),HCV,Truck,MAN,Diesel,BS6,3760,1,2,REG19,1/8/2022,1/8/2022
REG102232,4/6/2020,2020,Karnataka,Mysore (KA-09),2W,Moped,Honda,Petrol,BS6,160,2,4,REG19,4/6/2020,4/6/2020
REG102233,5/8/2021,2021,Tamil Nadu,Trichy (TN-45),4W,Hatchback,Honda,Diesel,BS6,0,8,3,REG19,5/8/2021,5/8/2021
REG102234,1/3/2023,2023,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Suzuki,Petrol,BS6,200,2,1,REG19,1/3/2023,1/3/2023
REG102235,1/4/2024,2024,Rajasthan,Ajmer (RJ-01),4W,MUV,Tata Motors,Diesel,BS6,1197,6,0,REG19,1/4/2024,1/4/2024
REG102236,14-08-2023,2023,Karnataka,Belgaum (KA-22),2W,Motorcycle,Bajaj,EV,BS6,0,2,1,REG19,14/08/2023,8/14/2023
REG102237,10/7/2021,2021,Gujarat,Rajkot (GJ-03),2W,Scooter,Royal Enfield,EV,BS6,0,2,3,REG19,10/7/2021,10/7/2021
REG102238,4/1/2022,2022,Delhi,Delhi South (DL-09),2W,Motorcycle,Honda,Petrol,BS6,350,2,2,REG19,4/1/2022,4/1/2022
REG102239,2/11/2019,2019,Karnataka,Mysore (KA-09),2W,Moped,Yamaha,Petrol,BS4,100,2,5,REG19,2/11/2019,2/11/2019
REG102240,29-08-2024,2024,Maharashtra,Pune (MH-12),2W,Moped,TVS,Petrol,BS6,150,2,0,REG19,29/08/2024,8/29/2024
REG102241,2/10/2022,2022,Madhya Pradesh,Indore (MP-09),4W,MUV,MG,Petrol,BS6,0,6,2,REG19,2/10/2022,2/10/2022
REG102242,8/12/2020,2020,Punjab,Amritsar (PB-02),4W,SUV,Renault,Diesel,BS6,1498,6,4,REG19,8/12/2020,8/12/2020
REG102243,17-06-2019,2019,Madhya Pradesh,Gwalior (MP-07),2W,Scooter,Honda,Petrol,BS4,350,2,5,REG19,17/06/2019,6/17/2019
REG102244,22-11-2024,2024,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,Hero,Petrol,BS6,100,2,0,REG19,22/11/2024,11/22/2024
REG102245,28-04-2021,2021,Rajasthan,Kota (RJ-20),4W,SUV,MG,Diesel,BS6,1598,6,3,REG19,28/04/2021,4/28/2021
REG102246,2/3/2023,2023,Rajasthan,Jodhpur (RJ-19),2W,Moped,Royal Enfield,Petrol,BS6,200,2,1,REG19,2/3/2023,2/3/2023
REG102247,15-04-2021,2021,Punjab,Amritsar (PB-02),4W,MUV,Mahindra,Petrol,BS6,800,7,3,REG19,15/04/2021,4/15/2021
REG102248,4/8/2019,2019,Delhi,Delhi North (DL-04),3W,Auto Rickshaw,Piaggio,CNG,BS4,200,3,5,REG19,4/8/2019,4/8/2019
REG102249,20-01-2024,2024,Kerala,Kochi (KL-07),2W,Moped,Ather,EV,BS6,0,2,0,REG19,20/01/2024,1/20/2024
REG102250,3/9/2021,2021,West Bengal,Asansol (WB-39),4W,Sedan,Renault,Petrol,BS6,0,8,3,REG19,3/9/2021,3/9/2021
REG102251,10/6/2021,2021,Delhi,Delhi Central (DL-01),2W,Moped,Suzuki,Petrol,BS6,125,2,3,REG19,10/6/2021,10/6/2021
REG102252,25-04-2020,2020,Karnataka,Mangalore (KA-19),4W,MUV,Toyota,EV,BS6,0,5,4,REG19,25/04/2020,4/25/2020
REG102253,30-05-2023,2023,Karnataka,Belgaum (KA-22),4W,Hatchback,Toyota,Diesel,BS6,1498,8,1,REG19,30/05/2023,5/30/2023
REG102254,29-10-2022,2022,West Bengal,Kolkata (WB-01),4W,MUV,Honda,Petrol,BS6,1000,7,2,REG19,29/10/2022,10/29/2022
REG102255,19-11-2022,2022,Delhi,Delhi East (DL-02),4W,Sedan,Skoda,CNG,BS6,1968,7,2,REG19,19/11/2022,11/19/2022
REG102256,11/10/2018,2018,Rajasthan,Jaipur (RJ-14),4W,Hatchback,Maruti Suzuki,Petrol,BS4,1598,8,6,REG19,11/10/2018,11/10/2018
REG102257,4/10/2019,2019,Delhi,Delhi South (DL-09),2W,Motorcycle,Yamaha,Petrol,BS4,0,2,5,REG19,4/10/2019,4/10/2019
REG102258,21-09-2021,2021,Uttar Pradesh,Allahabad (UP-70),2W,Scooter,TVS,EV,BS6,0,2,3,REG19,21/09/2021,9/21/2021
REG102259,9/7/2022,2022,Gujarat,Gandhinagar (GJ-18),4W,MUV,Skoda,Diesel,BS6,2179,7,2,REG19,9/7/2022,9/7/2022
REG102260,27-01-2023,2023,Madhya Pradesh,Ujjain (MP-13),2W,Moped,TVS,EV,BS6,0,2,1,REG19,27/01/2023,1/27/2023
REG102261,6/12/2022,2022,Tamil Nadu,Chennai Central (TN-01),2W,Moped,KTM,CNG,BS6,110,2,2,REG19,6/12/2022,6/12/2022
REG102262,11/2/2024,2024,Tamil Nadu,Madurai (TN-58),3W,Auto Rickshaw,Kinetic Green,EV,BS6,0,3,0,REG19,11/2/2024,11/2/2024
REG102263,6/8/2023,2023,Rajasthan,Ajmer (RJ-01),3W,E-Rickshaw,TVS,CNG,BS6,0,3,1,REG19,6/8/2023,6/8/2023
REG102264,16-01-2023,2023,Telangana,Karimnagar (TS-01),OTH,Tractor,Mahindra,Diesel,BS6,4998,52,1,REG19,16/01/2023,1/16/2023
REG102265,2/10/2020,2020,Telangana,Nizamabad (TS-05),4W,Hatchback,Hyundai,CNG,BS6,1000,7,4,REG19,2/10/2020,2/10/2020
REG102266,20-10-2024,2024,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,Ola Electric,EV,BS6,0,2,0,REG19,20/10/2024,10/20/2024
REG102267,4/8/2020,2020,Karnataka,Mangalore (KA-19),3W,Auto Rickshaw,TVS,CNG,BS6,225,3,4,REG19,4/8/2020,4/8/2020
REG102268,26-08-2023,2023,Rajasthan,Jaipur (RJ-14),4W,SUV,Renault,Diesel,BS6,800,7,1,REG19,26/08/2023,8/26/2023
REG102269,10/2/2022,2022,Delhi,Delhi East (DL-02),4W,Hatchback,Hyundai,Petrol,BS6,800,6,2,REG19,10/2/2022,10/2/2022
REG102270,28-06-2023,2023,Telangana,Warangal (TS-03),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2523,9,1,REG19,28/06/2023,6/28/2023
REG102271,15-09-2023,2023,Kerala,Thrissur (KL-08),2W,Motorcycle,Ather,Petrol,BS6,110,2,1,REG19,15/09/2023,9/15/2023
REG102272,25-07-2023,2023,Maharashtra,Nagpur (MH-31),2W,Motorcycle,Royal Enfield,Petrol,BS6,110,2,1,REG19,25/07/2023,7/25/2023
REG102273,21-04-2024,2024,Rajasthan,Ajmer (RJ-01),3W,E-Rickshaw,Mahindra,CNG,BS6,250,7,0,REG19,21/04/2024,4/21/2024
REG102274,31-01-2020,2020,Kerala,Kollam (KL-02),2W,Motorcycle,Bajaj,Petrol,BS6,100,2,4,REG19,31/01/2020,1/31/2020
REG102275,19-08-2023,2023,Madhya Pradesh,Gwalior (MP-07),4W,MUV,Hyundai,Diesel,BS6,1462,5,1,REG19,19/08/2023,8/19/2023
REG102276,2/7/2022,2022,Madhya Pradesh,Gwalior (MP-07),LCV,Pickup Van,Mahindra,CNG,BS6,3298,9,2,REG19,2/7/2022,2/7/2022
REG102277,3/5/2023,2023,Karnataka,Mangalore (KA-19),2W,Scooter,Ola Electric,Petrol,BS6,350,2,1,REG19,3/5/2023,3/5/2023
REG102278,29-11-2022,2022,West Bengal,Howrah (WB-13),3W,Auto Rickshaw,Atul Auto,EV,BS4,0,6,2,REG19,29/11/2022,11/29/2022
REG102279,12/5/2019,2019,Maharashtra,Nagpur (MH-31),HCV,Trailer,Ashok Leyland,Diesel,BS4,3760,45,5,REG19,12/5/2019,12/5/2019
REG102280,21-06-2023,2023,Karnataka,Bangalore Central (KA-01),LCV,Light Bus,Force Motors,Diesel,BS6,3298,12,1,REG19,21/06/2023,6/21/2023
REG102281,1/1/2023,2023,Gujarat,Ahmedabad (GJ-01),OTH,Tractor,Mahindra,Diesel,BS6,4998,45,1,REG19,1/1/2023,1/1/2023
REG102282,22-02-2022,2022,Delhi,Delhi Central (DL-01),2W,Scooter,Suzuki,Petrol,BS6,160,2,2,REG19,22/02/2022,2/22/2022
REG102283,31-10-2023,2023,Madhya Pradesh,Gwalior (MP-07),4W,MUV,Hyundai,Diesel,BS6,1598,6,1,REG19,31/10/2023,10/31/2023
REG102284,4/12/2021,2021,Maharashtra,Aurangabad (MH-20),2W,Motorcycle,Suzuki,EV,BS6,0,2,3,REG19,4/12/2021,4/12/2021
REG102285,11/11/2023,2023,Madhya Pradesh,Bhopal (MP-04),4W,Sedan,Renault,Diesel,BS6,0,8,1,REG19,11/11/2023,11/11/2023
